row,1,2,3,4,5,6,7,8,9,10,11,12
A,d2,d21,d23,d30,d25,d21,d28,DMSOonly-control,DMSOonly-control,d31,d5,d32
B,DMSOonly-control,d18,d18,d27,d8,d23,d25,d33,DMSOonly-control,DMSOonly-control,d26,d20
C,d15,DMSOonly-control,d29,d14,d5,d8,DMSOonly-control,d17,d29,d24,d32,d7
D,d26,d28,d19,d28,d16,d29,d20,d3,d23,d30,d20,d14
E,d2,d26,d16,DMSOHeLa-HeLa,DMSOHeLa-HeLa,d13,d32,d2,d21,DMSOHeLa-HeLa,d24,d17
F,d7,d31,d13,DMSOonly-control,d17,DMSOonly-control,d33,DMSOonly-control,d14,d19,d18,d15
G,d15,d8,d33,d3,d25,d24,DMSOonly-control,DMSOonly-control,d30,DMSOonly-control,d19,d16
H,d27,d7,DMSOonly-control,d31,d13,DMSOHeLa-HeLa,DMSOonly-control,d27,DMSOonly-control,DMSOonly-control,d5,d3
