platePosition,condition
A_1,D_2
A_2,A_2
A_3,B_2
A_4,F_3
A_5,H_2
A_6,A_2
A_7,D_3
A_8,DMSOonly-control
A_9,DMSOonly-control
A_10,G_3
A_11,F_2
A_12,H_3
B_1,DMSOonly-control
B_2,F_1
B_3,F_1
B_4,C_3
B_5,A_3
B_6,B_2
B_7,H_2
B_8,A_4
B_9,DMSOonly-control
B_10,DMSOonly-control
B_11,B_3
B_12,H_1
C_1,C_1
C_2,DMSOonly-control
C_3,E_3
C_4,B_1
C_5,F_2
C_6,A_3
C_7,DMSOonly-control
C_8,E_1
C_9,E_3
C_10,C_2
C_11,H_3
C_12,E_2
D_1,B_3
D_2,D_3
D_3,G_1
D_4,D_3
D_5,D_1
D_6,E_3
D_7,H_1
D_8,G_2
D_9,B_2
D_10,F_3
D_11,H_1
D_12,B_1
E_1,D_2
E_2,B_3
E_3,D_1
E_4,DMSOHeLa-HeLa
E_5,DMSOHeLa-HeLa
E_6,A_1
E_7,H_3
E_8,D_2
E_9,A_2
E_10,DMSOHeLa-HeLa
E_11,C_2
E_12,E_1
F_1,E_2
F_2,G_3
F_3,A_1
F_4,DMSOonly-control
F_5,E_1
F_6,DMSOonly-control
F_7,A_4
F_8,DMSOonly-control
F_9,B_1
F_10,G_1
F_11,F_1
F_12,C_1
G_1,C_1
G_2,A_3
G_3,A_4
G_4,G_2
G_5,H_2
G_6,C_2
G_7,DMSOonly-control
G_8,DMSOonly-control
G_9,F_3
G_10,DMSOonly-control
G_11,G_1
G_12,D_1
H_1,C_3
H_2,E_2
H_3,DMSOonly-control
H_4,G_3
H_5,A_1
H_6,DMSOHeLa-HeLa
H_7,DMSOonly-control
H_8,C_3
H_9,DMSOonly-control
H_10,DMSOonly-control
H_11,F_2
H_12,G_2
