row,1,2,3,4,5,6,7,8,9,10,11,12
A,F_1-100x,A_1-100x,C_1-1x,E_1-100x,C_2-20x,E_2-100x,G_1-1x,E_2-20x,F_2-100x,A_1-1x,C_2-20x,F_1-100x
B,B_2-20x,B_1-1x,C_1-100x,C_1-20x,A_2-100x,A_2-1x,B_2-100x,A_2-1x,F_1-1x,DMSOonly-control,B_1-100x,B_1-20x
C,E_1-1x,DMSOonly-control,DMSOonly-control,E_2-20x,C_1-100x,D_1-100x,A_1-20x,A_2-100x,DMSOHeLa-HeLa,A_1-1x,D_1-100x,D_1-1x
D,B_2-20x,G_1-20x,D_1-20x,G_1-1x,E_1-20x,F_2-1x,D_2-20x,H_1-20x,D_2-100x,C_2-1x,H_1-1x,F_1-1x
E,DMSOHeLa-HeLa,C_2-100x,F_2-100x,DMSOonly-control,E_2-100x,F_2-20x,D_2-1x,DMSOonly-control,B_2-1x,DMSOHeLa-HeLa,A_1-100x,F_1-20x
F,D_1-1x,DMSOonly-control,G_1-100x,B_1-1x,E_2-1x,D_2-100x,D_1-20x,DMSOonly-control,A_2-20x,F_2-20x,DMSOHeLa-HeLa,B_2-100x
G,D_2-20x,E_2-1x,DMSOonly-control,C_1-1x,C_2-1x,H_1-20x,C_1-20x,B_2-1x,G_1-100x,G_1-20x,B_1-100x,H_1-1x
H,E_1-20x,A_1-20x,B_1-20x,DMSOonly-control,F_2-1x,E_1-1x,C_2-100x,DMSOonly-control,E_1-100x,F_1-20x,A_2-20x,D_2-1x
