platePosition,condition
A_1,d2
A_2,d21
A_3,d23
A_4,d30
A_5,d25
A_6,d21
A_7,d28
A_8,DMSOonly-control
A_9,DMSOonly-control
A_10,d31
A_11,d5
A_12,d32
B_1,DMSOonly-control
B_2,d18
B_3,d18
B_4,d27
B_5,d8
B_6,d23
B_7,d25
B_8,d33
B_9,DMSOonly-control
B_10,DMSOonly-control
B_11,d26
B_12,d20
C_1,d15
C_2,DMSOonly-control
C_3,d29
C_4,d14
C_5,d5
C_6,d8
C_7,DMSOonly-control
C_8,d17
C_9,d29
C_10,d24
C_11,d32
C_12,d7
D_1,d26
D_2,d28
D_3,d19
D_4,d28
D_5,d16
D_6,d29
D_7,d20
D_8,d3
D_9,d23
D_10,d30
D_11,d20
D_12,d14
E_1,d2
E_2,d26
E_3,d16
E_4,DMSOHeLa-HeLa
E_5,DMSOHeLa-HeLa
E_6,d13
E_7,d32
E_8,d2
E_9,d21
E_10,DMSOHeLa-HeLa
E_11,d24
E_12,d17
F_1,d7
F_2,d31
F_3,d13
F_4,DMSOonly-control
F_5,d17
F_6,DMSOonly-control
F_7,d33
F_8,DMSOonly-control
F_9,d14
F_10,d19
F_11,d18
F_12,d15
G_1,d15
G_2,d8
G_3,d33
G_4,d3
G_5,d25
G_6,d24
G_7,DMSOonly-control
G_8,DMSOonly-control
G_9,d30
G_10,DMSOonly-control
G_11,d19
G_12,d16
H_1,d27
H_2,d7
H_3,DMSOonly-control
H_4,d31
H_5,d13
H_6,DMSOHeLa-HeLa
H_7,DMSOonly-control
H_8,d27
H_9,DMSOonly-control
H_10,DMSOonly-control
H_11,d5
H_12,d3
