platePosition,condition
A_1,DMSOonly-control
A_2,B3
A_3,DMSOonly-control
A_4,DMSOonly-control
A_5,B3
A_6,DMSOonly-control
A_7,F3
A_8,C3
A_9,A1
A_10,A1
A_11,B1
A_12,DMSOonly-control
B_1,D1
B_2,G2
B_3,DMSOonly-control
B_4,C1
B_5,B1
B_6,H1
B_7,D2
B_8,DMSOonly-control
B_9,E3
B_10,D1
B_11,E2
B_12,H3
C_1,DMSOonly-control
C_2,C2
C_3,A4
C_4,D3
C_5,G1
C_6,E1
C_7,F3
C_8,D3
C_9,H3
C_10,DMSOonly-control
C_11,A2
C_12,DMSOonly-control
D_1,DMSOonly-control
D_2,H1
D_3,DMSOonly-control
D_4,DMSOonly-control
D_5,F1
D_6,DMSOonly-control
D_7,DMSOonly-control
D_8,H3
D_9,F2
D_10,G3
D_11,A3
D_12,DMSOonly-control
E_1,B1
E_2,C1
E_3,DMSOonly-control
E_4,H2
E_5,E3
E_6,F2
E_7,DMSOonly-control
E_8,C1
E_9,C3
E_10,E2
E_11,B2
E_12,G2
F_1,H2
F_2,A4
F_3,H2
F_4,DMSOonly-control
F_5,B2
F_6,D2
F_7,C3
F_8,D1
F_9,A4
F_10,E3
F_11,F1
F_12,G2
G_1,B3
G_2,E1
G_3,F1
G_4,A3
G_5,E2
G_6,A1
G_7,G1
G_8,G1
G_9,DMSOonly-control
G_10,G3
G_11,H1
G_12,DMSOonly-control
H_1,C2
H_2,A2
H_3,F3
H_4,D2
H_5,F2
H_6,A3
H_7,C2
H_8,G3
H_9,D3
H_10,E1
H_11,A2
H_12,B2
