row,1,2,3,4,5,6,7,8,9,10,11,12
A,DMSOonly-control,d51,DMSOonly-control,DMSOonly-control,d51,DMSOonly-control,d55,d52,d34,d34,d35,DMSOonly-control
B,d37,d48,DMSOonly-control,d36,d35,d41,d45,DMSOonly-control,d54,d37,d46,d57
C,DMSOonly-control,d44,d58,d53,d40,d38,d55,d53,d57,DMSOonly-control,d42,DMSOonly-control
D,DMSOonly-control,d41,DMSOonly-control,DMSOonly-control,d39,DMSOonly-control,DMSOonly-control,d57,d47,d56,d50,DMSOonly-control
E,d35,d36,DMSOonly-control,d49,d54,d47,DMSOonly-control,d36,d52,d46,d43,d48
F,d49,d58,d49,DMSOonly-control,d43,d45,d52,d37,d58,d54,d39,d48
G,d51,d38,d39,d50,d46,d34,d40,d40,DMSOonly-control,d56,d41,DMSOonly-control
H,d44,d42,d55,d45,d47,d50,d44,d56,d53,d38,d42,d43
