AATF BMP8A CEBPE CTNNB1 ESR2 GDF3 HOXA5 IL17D
LHX6 NEK6 PAX6 RHOXF1 STAT1 TLX3 ZBTB48 ZNF639
LHX9 NEUROD1 PAX8 RHOXF2 STAT3 TMEM8C ZEB2 ZNF69
LIF NEUROD2 PBX2 RNF4 STAT5 TMOD1 ZFP29 ZNF71
LMO4 NEUROG3 PCGF6 RORB STAT5A TNF ZFP36L1 ZNF75D
LMX1A NFATC1 PF4 RTP3 STAT5B TNFRSF11B ZFP36L2 ZNF83
LMX1B NFATC3 PFDN1 RUNX1T1 STAT6 TNFSF13 ZFP42 ZNF85
LRRC8B NFE2 PGBD1 RUNX3 SUPT4H1 TNFSF13B ZFP69B ZRANB2
LTA NFE2L1 PGRMC2 RXRA SUV420H1 TNFSF15 ZHX2 ZSCAN1
LTB NFE2L3 PHC2 RXRB TADA2A TNFSF18 ZHX3 ZSCAN12
MAFB NFIC PHF5A RXRG TADA3 TNFSF4 ZIC3 ZSCAN16
MAFF NFIL3 PHF6 SALL2 TADA3L TNFSF8 ZKSCAN3 ZSCAN18
MAFG NFKB1 PHF7 SATB2 TAF10 TNLG8A ZKSCAN4 ZSCAN20
MARCH5 NFYB PHOX2A SCG2 TAF12 TP53 ZKSCAN5 ZSCAN21
MARCKS5 NFYC PHTF1 SCGB3A1 TAF5L TP63 ZKSCAN7 ZSCAN25
MAX NKX2-1 PITX1 SCMH1 TAF6 TRAF3IP1 ZKSCAN8 ZSCAN26
MBD1 NKX2-3 PITX2 SECTM1 TAF7 TRIM22 ZNF131 ZSCAN31
MDS1 NKX2-5 PKNOX1 SETD3 TARDBP TRIM25 ZNF133 ZSCAN4
MECOM NKX2-8 PKNOX2 SETD4 TBX2 TRIM27 ZNF134 ZSCAN5A
MECP2 NME2 PLAGL2 SETD8 TBX20 TRIM28 ZNF140 ZSCAN9
MEF2A NOLC1 POLD4 SETDB1 TBX21 TRIM29 ZNF165 empty
MEF2D NPAS2 POU1F1 SHOX TBX22 TRIM58 ZNF169 empty
MEIS2 NR0B1 POU2F1 SHOX2 TBX3 TSC22D2 ZNF174 empty
MEOX1 NR0B2 POU2F2 SIX1 TBX5 TSC22D3 ZNF175 empty
MICB NR1D1 POU3F2 SIX2 TBX6 TSC22D3 ZNF18 empty
